"No.","Time","Source","Destination","Length","Protocol","Info"
"1","0.000000","185.220.101.175","54.36.163.65","322","TLSv1.2","Ignored Unknown Record"
"2","0.519762","185.220.101.175","54.36.163.65","1084","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"3","0.519763","185.220.101.175","54.36.163.65","2060","TLSv1.2","Ignored Unknown Record"
"4","0.543277","185.220.101.175","54.36.163.65","786","TLSv1.2","Ignored Unknown Record"
"5","0.610112","185.220.101.175","54.36.163.65","558","TLSv1.2","Ignored Unknown Record"
"6","0.810451","185.220.101.175","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"7","0.810502","185.220.101.175","54.36.163.65","872","TLSv1.2","Ignored Unknown Record"
"8","0.866464","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"9","0.888505","185.220.101.175","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"10","0.889899","185.220.101.175","54.36.163.65","456","TLSv1.2","Ignored Unknown Record"
"11","0.974060","185.220.101.175","54.36.163.65","1234","TLSv1.2","Ignored Unknown Record"
"12","1.014077","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"13","1.163570","185.220.101.175","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"14","1.199622","185.220.101.175","54.36.163.65","2108","TLSv1.2","Ignored Unknown Record"
"15","1.199623","185.220.101.175","54.36.163.65","852","TLSv1.2","Ignored Unknown Record"
"16","1.316833","185.220.101.175","54.36.163.65","1234","TLSv1.2","Ignored Unknown Record"
"17","1.603655","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"18","1.710254","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"19","2.297036","185.220.101.175","54.36.163.65","1257","TLSv1.2","Ignored Unknown Record"
"20","2.623936","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"21","2.768503","185.220.101.175","54.36.163.65","93","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"22","3.135691","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=23712 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"23","3.163575","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=25050 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"24","3.163576","185.220.101.175","54.36.163.65","2060","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"25","3.187023","185.220.101.175","54.36.163.65","770","TCP","20884  >  8001 [PSH, ACK] Seq=29098 Ack=1 Win=21 Len=710 [TCP segment of a reassembled PDU]"
"26","3.238363","185.220.101.175","54.36.163.65","721","TCP","20884  >  8001 [PSH, ACK] Seq=29808 Ack=1 Win=21 Len=661 [TCP segment of a reassembled PDU]"
"27","3.347543","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"28","3.347544","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=32517 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"29","3.442643","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=33309 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"30","3.442643","185.220.101.175","54.36.163.65","852","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"31","3.466181","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=36149 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"32","3.567830","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=37569 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"33","3.567830","185.220.101.175","54.36.163.65","278","TCP","20884  >  8001 [PSH, ACK] Seq=39617 Ack=1 Win=21 Len=218 [TCP segment of a reassembled PDU]"
"34","3.618936","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data, Application Data"
"35","3.839594","185.220.101.175","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"36","3.940563","185.220.101.175","54.36.163.65","511","TLSv1.2","Ignored Unknown Record"
"37","4.082321","185.220.101.175","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"38","4.700722","185.220.101.175","54.36.163.65","603","TLSv1.2","[TCP Previous segment not captured] , Application Data"
"39","4.908545","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"40","4.979594","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"41","5.099540","185.220.101.175","54.36.163.65","1234","TLSv1.2","Ignored Unknown Record"
"42","5.306159","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"43","5.388710","185.220.101.175","54.36.163.65","1316","TLSv1.2","Ignored Unknown Record"
"44","5.576467","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=52848 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"45","5.689391","185.220.101.175","54.36.163.65","456","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=54186 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"46","5.689391","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=53162 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
