"Time","Source","Destination","Length","Protocol","Info"
"0.000000","185.220.101.164","54.36.163.65","322","TLSv1.2","Ignored Unknown Record"
"0.520943","185.220.101.164","54.36.163.65","636","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"0.597644","185.220.101.164","54.36.163.65","1480","TCP","24824  >  8001 [PSH, ACK] Seq=1863 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"0.625545","185.220.101.164","54.36.163.65","292","TCP","[TCP Previous segment not captured] 24824  >  8001 [PSH, ACK] Seq=4307 Ack=1 Win=21 Len=232 [TCP segment of a reassembled PDU]"
"0.625545","185.220.101.164","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 24824  >  8001 [ACK] Seq=3283 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"0.764457","185.220.101.164","54.36.163.65","374","TCP","[TCP Previous segment not captured] 24824  >  8001 [PSH, ACK] Seq=5563 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"0.764457","185.220.101.164","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 24824  >  8001 [ACK] Seq=4539 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"0.908935","185.220.101.164","54.36.163.65","1554","TLSv1.2","Application Data, Application Data"
"0.955706","185.220.101.164","54.36.163.65","1480","TCP","24824  >  8001 [PSH, ACK] Seq=7371 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"1.031927","185.220.101.164","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"1.295991","185.220.101.164","54.36.163.65","162","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"1.326774","185.220.101.164","54.36.163.65","982","TLSv1.2","Ignored Unknown Record"
"1.367030","185.220.101.164","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"1.408769","185.220.101.164","54.36.163.65","1234","TLSv1.2","Ignored Unknown Record"
"1.672180","185.220.101.164","54.36.163.65","2108","TLSv1.2","Ignored Unknown Record"
