"Time","Source","Destination","Length","Protocol","Info"
"0.000000","185.220.101.45","54.36.163.65","292","TLSv1.2","Ignored Unknown Record"
"0.119786","185.220.101.45","54.36.163.65","1398","TLSv1.2","Ignored Unknown Record"
"0.131926","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"0.143964","185.220.101.45","54.36.163.65","374","TLSv1.2","Ignored Unknown Record"
"0.220056","185.220.101.45","54.36.163.65","1398","TLSv1.2","Ignored Unknown Record"
"0.247986","185.220.101.45","54.36.163.65","509","TLSv1.2","Ignored Unknown Record"
"0.516479","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"0.531016","185.220.101.45","54.36.163.65","2108","TLSv1.2","Ignored Unknown Record"
"0.539924","185.220.101.45","54.36.163.65","248","TLSv1.2","Ignored Unknown Record"
"0.713611","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data"
"0.775922","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data, Application Data"
"0.919207","185.220.101.45","54.36.163.65","70","TLSv1.2","Application Data"
"1.578675","185.220.101.45","54.36.163.65","1689","TLSv1.2","Application Data, Application Data, Application Data"
"1.880737","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data"
"1.921919","185.220.101.45","54.36.163.65","1316","TCP","25744  >  8001 [PSH, ACK] Seq=14087 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"2.227675","185.220.101.45","54.36.163.65","1398","TCP","25744  >  8001 [PSH, ACK] Seq=15343 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"2.266969","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"2.630268","185.220.101.45","54.36.163.65","374","TCP","[TCP Previous segment not captured] 25744  >  8001 [PSH, ACK] Seq=20381 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU]"
"3.128457","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"3.134463","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=22115 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"3.155644","185.220.101.45","54.36.163.65","292","TCP","25744  >  8001 [PSH, ACK] Seq=23139 Ack=1 Win=21 Len=232 [TCP segment of a reassembled PDU]"
"3.281044","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"3.509139","185.220.101.45","54.36.163.65","528","TLSv1.2","Application Data"
"3.751915","185.220.101.45","54.36.163.65","1480","TCP","25744  >  8001 [PSH, ACK] Seq=25177 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"3.859477","185.220.101.45","54.36.163.65","1316","TCP","25744  >  8001 [PSH, ACK] Seq=26597 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"4.088134","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"4.345927","185.220.101.45","54.36.163.65","1302","TLSv1.2","Application Data, Application Data, Application Data"
"4.543858","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"4.872654","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"4.884064","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=31519 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"4.893035","185.220.101.45","54.36.163.65","374","TCP","25744  >  8001 [PSH, ACK] Seq=32543 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"4.908063","185.220.101.45","54.36.163.65","2108","TCP","25744  >  8001 [ACK] Seq=32857 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"4.914624","185.220.101.45","54.36.163.65","770","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"5.209219","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"5.219011","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"5.232238","185.220.101.45","54.36.163.65","456","TLSv1.2","Ignored Unknown Record"
"5.421604","185.220.101.45","54.36.163.65","1234","TLSv1.2","Ignored Unknown Record"
"5.451990","185.220.101.45","54.36.163.65","1323","TLSv1.2","Ignored Unknown Record"
"5.529593","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"5.687942","185.220.101.45","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"5.698913","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"5.712126","185.220.101.45","54.36.163.65","374","TLSv1.2","Ignored Unknown Record"
"6.243982","185.220.101.45","54.36.163.65","249","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"6.277623","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"7.054378","185.220.101.45","54.36.163.65","93","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"7.061524","185.220.101.45","54.36.163.65","2108","TCP","25744  >  8001 [PSH, ACK] Seq=50313 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"7.061525","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=52361 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"7.070809","185.220.101.45","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"7.070809","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=55433 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"7.075831","185.220.101.45","54.36.163.65","606","TCP","25744  >  8001 [PSH, ACK] Seq=56457 Ack=1 Win=21 Len=546 [TCP segment of a reassembled PDU]"
"7.080105","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"7.403940","185.220.101.45","54.36.163.65","299","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"7.524023","185.220.101.45","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"7.744040","185.220.101.45","54.36.163.65","759","TLSv1.2","Ignored Unknown Record"
"7.879094","185.220.101.45","54.36.163.65","122","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"8.429734","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"8.441317","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data"
"8.774366","185.220.101.45","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"9.036193","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"9.115968","185.220.101.45","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"9.512011","185.220.101.45","54.36.163.65","1196","TLSv1.2","Ignored Unknown Record"
"10.351754","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"10.361963","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"10.371976","185.220.101.45","54.36.163.65","456","TLSv1.2","Ignored Unknown Record"
"10.551975","185.220.101.45","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"10.692142","185.220.101.45","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"10.944149","185.220.101.45","54.36.163.65","120","TLSv1.2","Ignored Unknown Record"
"11.317503","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"11.545606","185.220.101.45","54.36.163.65","1146","TLSv1.2","Application Data, Application Data"
"12.024040","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"12.205676","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"12.701962","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"12.779947","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"14.299956","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"14.311432","185.220.101.45","54.36.163.65","2108","TLSv1.2","Application Data, Application Data"
"14.311432","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"14.323973","185.220.101.45","54.36.163.65","188","TLSv1.2","Application Data"
"14.376536","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data"
"14.861393","185.220.101.45","54.36.163.65","865","TLSv1.2","Application Data, Application Data"
"14.876082","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=95561 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"14.884103","185.220.101.45","54.36.163.65","374","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"15.316062","185.220.101.45","54.36.163.65","322","TLSv1.2","Application Data"
"15.321176","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=97161 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"15.337112","185.220.101.45","54.36.163.65","374","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"15.684962","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"15.685089","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=99919 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"15.705157","185.220.101.45","54.36.163.65","292","TCP","25744  >  8001 [PSH, ACK] Seq=100943 Ack=1 Win=21 Len=232 [TCP segment of a reassembled PDU]"
"16.081797","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data, Application Data"
"16.091597","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data, Application Data"
"16.105204","185.220.101.45","54.36.163.65","456","TCP","25744  >  8001 [PSH, ACK] Seq=103537 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"16.391922","185.220.101.45","54.36.163.65","1316","TCP","25744  >  8001 [PSH, ACK] Seq=103933 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"16.449163","185.220.101.45","54.36.163.65","973","TLSv1.2","Application Data"
"16.903998","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data"
"16.918156","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"16.936535","185.220.101.45","54.36.163.65","456","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"17.138167","185.220.101.45","54.36.163.65","1480","TCP","25744  >  8001 [PSH, ACK] Seq=108860 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"17.251197","185.220.101.45","54.36.163.65","210","TCP","[TCP Previous segment not captured] 25744  >  8001 [PSH, ACK] Seq=111304 Ack=1 Win=21 Len=150 [TCP segment of a reassembled PDU]"
"17.251197","185.220.101.45","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 25744  >  8001 [ACK] Seq=110280 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"17.507320","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data, Application Data"
"17.627942","185.220.101.45","54.36.163.65","1480","TCP","25744  >  8001 [PSH, ACK] Seq=112874 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"17.890362","185.220.101.45","54.36.163.65","1480","TCP","25744  >  8001 [PSH, ACK] Seq=114294 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"17.927761","185.220.101.45","54.36.163.65","1152","TLSv1.2","Application Data, Application Data"
"18.339940","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"18.367484","185.220.101.45","54.36.163.65","101","TLSv1.2","Application Data"
"18.695939","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"18.707974","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"18.724041","185.220.101.45","54.36.163.65","292","TLSv1.2","Ignored Unknown Record"
"19.285878","185.220.101.45","54.36.163.65","1040","TLSv1.2","Ignored Unknown Record"
"19.299944","185.220.101.45","54.36.163.65","1084","TCP","25744  >  8001 [ACK] Seq=121841 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"19.308463","185.220.101.45","54.36.163.65","456","TCP","25744  >  8001 [PSH, ACK] Seq=122865 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"19.551363","185.220.101.45","54.36.163.65","292","TCP","[TCP Previous segment not captured] 25744  >  8001 [PSH, ACK] Seq=124285 Ack=1 Win=21 Len=232 [TCP segment of a reassembled PDU]"
"19.551363","185.220.101.45","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 25744  >  8001 [ACK] Seq=123261 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"19.641335","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"20.102980","185.220.101.45","54.36.163.65","216","TLSv1.2","Application Data"
"20.576642","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"20.599990","185.220.101.45","54.36.163.65","1398","TCP","25744  >  8001 [PSH, ACK] Seq=126554 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"20.801629","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"20.815418","185.220.101.45","54.36.163.65","1084","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"20.822439","185.220.101.45","54.36.163.65","840","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"20.967932","185.220.101.45","54.36.163.65","1398","TLSv1.2","Application Data, Application Data"
"21.101466","185.220.101.45","54.36.163.65","584","TLSv1.2","Application Data"
"21.286268","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"21.298000","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"21.306526","185.220.101.45","54.36.163.65","292","TLSv1.2","Ignored Unknown Record"
"21.451971","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"21.458354","185.220.101.45","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"21.479943","185.220.101.45","54.36.163.65","292","TLSv1.2","Ignored Unknown Record"
"21.535940","185.220.101.45","54.36.163.65","1398","TLSv1.2","Ignored Unknown Record"
"21.631926","185.220.101.45","54.36.163.65","634","TLSv1.2","Ignored Unknown Record"
"21.878741","185.220.101.45","54.36.163.65","1398","TCP","25744  >  8001 [PSH, ACK] Seq=142836 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"21.903167","185.220.101.45","54.36.163.65","293","TLSv1.2","Application Data"
"22.259955","185.220.101.45","54.36.163.65","603","TLSv1.2","Application Data"
"22.292632","185.220.101.45","54.36.163.65","1480","TLSv1.2","Application Data"
"22.372004","185.220.101.45","54.36.163.65","1316","TCP","25744  >  8001 [PSH, ACK] Seq=146370 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"22.483507","185.220.101.45","54.36.163.65","526","TLSv1.2","Application Data"
"22.623313","185.220.101.45","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
