"Time","Source","Destination","Length","Protocol","Info"
"0.000000","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"1.483254","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"1.500627","185.220.101.174","54.36.163.65","2108","TLSv1.2","Application Data, Application Data, Application Data"
"1.503984","185.220.101.174","54.36.163.65","727","TLSv1.2","Application Data, Application Data"
"1.768872","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"2.107899","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"2.308499","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"2.383877","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"3.396370","185.220.101.174","54.36.163.65","603","TLSv1.2","[TCP Previous segment not captured] , Application Data"
"3.417208","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"3.771437","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"3.859246","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"4.342670","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"4.363246","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"4.581254","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"4.651555","185.220.101.174","54.36.163.65","122","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"4.728067","185.220.101.174","54.36.163.65","1398","TLSv1.2","Application Data"
"4.871415","185.220.101.174","54.36.163.65","322","TLSv1.2","Application Data"
"4.986907","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"5.188091","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"5.566683","185.220.101.174","54.36.163.65","122","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"5.747309","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"6.069337","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"6.208946","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"6.603707","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"6.776777","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"7.157148","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"7.339994","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"7.703792","185.220.101.174","54.36.163.65","1146","TLSv1.2","Application Data, Application Data"
"7.892038","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"8.027852","185.220.101.174","54.36.163.65","1398","TLSv1.2","Application Data"
"8.052017","185.220.101.174","54.36.163.65","865","TLSv1.2","Application Data, Application Data"
"8.232754","185.220.101.174","54.36.163.65","603","TLSv1.2","Application Data"
"8.292821","185.220.101.174","54.36.163.65","1146","TLSv1.2","Application Data, Application Data"
