"Time","Source","Destination","Length","Protocol","Info"
"0.000000","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"0.329496","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"0.439152","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"0.594085","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"0.717496","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"0.953682","185.220.100.240","54.36.163.65","253","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"1.205123","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"1.331695","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"1.440658","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"1.550198","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"1.795912","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"1.905349","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.044950","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.207243","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.339242","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.449422","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.585791","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.605902","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"2.828704","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"2.938234","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"3.110024","185.220.100.240","54.36.163.65","1410","TLSv1.2","Application Data, Application Data"
"3.219662","185.220.100.240","54.36.163.65","363","TLSv1.2","Application Data"
"3.445955","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"3.496909","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"3.555924","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"3.665598","185.220.100.240","54.36.163.65","1410","TLSv1.2","Application Data, Application Data"
"3.775004","185.220.100.240","54.36.163.65","363","TLSv1.2","Application Data"
"3.947486","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"4.084799","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"4.177278","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"4.203333","185.220.100.240","54.36.163.65","1410","TLSv1.2","Application Data, Application Data"
"4.314932","185.220.100.240","54.36.163.65","363","TLSv1.2","Application Data"
"4.424529","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"4.533769","185.220.100.240","54.36.163.65","1410","TLSv1.2","Application Data, Application Data"
"4.643529","185.220.100.240","54.36.163.65","363","TLSv1.2","Application Data"
"4.761789","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"4.966683","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"5.076309","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"5.296027","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"5.471747","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"5.661825","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"5.836919","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"5.949822","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"6.061854","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"6.269821","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"6.476247","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"6.506741","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"6.595669","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"6.847846","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"6.957372","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"7.107414","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"7.326746","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"7.446006","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"7.639620","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"7.829891","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"7.939691","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"8.048975","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"8.278761","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"8.505710","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"8.686697","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"8.850529","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"9.085820","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"9.193821","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"9.363392","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"9.421820","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"9.531330","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"9.640820","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"9.835770","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.045666","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.260518","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.278795","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.383559","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.492946","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"10.611483","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"10.854340","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"11.176183","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"11.454780","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"11.566708","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"11.723311","185.220.100.240","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"11.848905","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"12.066764","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.255060","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.282028","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.391532","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.553894","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.706139","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"12.922093","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"13.067507","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"13.215332","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"13.460773","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"13.574145","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"13.684140","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"13.930861","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"14.078955","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"14.188567","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"14.436615","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"14.669849","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"14.909825","185.220.100.240","54.36.163.65","570","TCP","20324  >  8001 [PSH, ACK] Seq=72763 Ack=1 Win=11 Len=498 TSval=1012188511 TSecr=2237715657 [TCP segment of a reassembled PDU]"
"15.015288","185.220.100.240","54.36.163.65","1203","TLSv1.2","Application Data, Application Data, Application Data"
"15.124744","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"15.234694","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"15.424167","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"15.533897","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"15.643434","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"15.753026","185.220.100.240","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"15.900418","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"16.010134","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
"16.333936","185.220.100.240","54.36.163.65","796","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"16.443528","185.220.100.240","54.36.163.65","615","TLSv1.2","Application Data"
