"Time","Source","Destination","Length","Protocol","Info"
"0.000000","185.129.62.62","54.36.163.65","1701","TLSv1.2","Application Data, Application Data, Application Data"
"0.599563","185.129.62.62","54.36.163.65","2244","TLSv1.2","Application Data, Application Data, Application Data, Application Data"
"0.720490","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"0.940329","185.129.62.62","54.36.163.65","1129","TLSv1.2","Application Data"
"1.040496","185.129.62.62","54.36.163.65","1410","TCP","46438  >  8001 [PSH, ACK] Seq=5402 Ack=1 Win=502 Len=1338 TSval=1870714261 TSecr=323585041 [TCP segment of a reassembled PDU]"
"1.135455","185.129.62.62","54.36.163.65","1362","TLSv1.2","Application Data, Application Data"
"1.412116","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"1.519090","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"1.613463","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"1.912100","185.129.62.62","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"2.003382","185.129.62.62","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"2.105768","185.129.62.62","54.36.163.65","1672","TLSv1.2","Application Data, Application Data"
"2.393043","185.129.62.62","54.36.163.65","1672","TLSv1.2","Application Data, Application Data"
"2.572532","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"2.762269","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"2.992530","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"3.178099","185.129.62.62","54.36.163.65","1129","TLSv1.2","Application Data"
"3.664350","185.129.62.62","54.36.163.65","2968","TLSv1.2","Application Data, Application Data, Application Data, Application Data"
"3.664351","185.129.62.62","54.36.163.65","588","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"3.760065","185.129.62.62","54.36.163.65","1227","TLSv1.2","Application Data, Application Data"
"3.872790","185.129.62.62","54.36.163.65","877","TLSv1.2","Application Data"
"3.980545","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"4.274073","185.129.62.62","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
"4.390337","185.129.62.62","54.36.163.65","615","TLSv1.2","Application Data"
"4.692450","185.129.62.62","54.36.163.65","1158","TLSv1.2","Application Data, Application Data"
