"Time","Source","Destination","Length","Protocol","Info"
"0.000000","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.104658","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.169494","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"0.245518","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.310158","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.374858","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.479027","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.543494","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"0.620950","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.743542","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.854412","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.866973","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"0.919779","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"0.990103","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.112632","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.235415","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.300539","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.365278","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.430244","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.494971","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.560230","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"1.625146","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.721084","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.744178","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"1.786624","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"1.852907","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.959365","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.054947","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.106674","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"2.171340","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"2.285835","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.354868","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.419903","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"2.477940","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"2.484753","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"2.551340","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.602782","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"2.616259","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"2.725685","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
