"Time","Source","Destination","Length","Protocol","Info"
"0.000000","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.515303","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.579735","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"0.630286","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"0.644958","198.52.200.39","10.0.2.15","345","TLSv1.2","Application Data"
"0.745673","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.861068","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"0.976424","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.077330","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.285348","198.52.200.39","10.0.2.15","1111","TLSv1.2","Application Data"
"1.409029","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.562885","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.627995","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.714897","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.780181","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"1.870305","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.038601","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.141094","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.241678","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"2.269131","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"2.306601","198.52.200.39","10.0.2.15","316","TLSv1.2","Application Data"
"2.384745","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.499977","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.621664","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"2.731870","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.797253","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.861960","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"2.962753","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.078720","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.181161","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.286274","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.379713","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"3.494352","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.600413","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"3.607679","198.52.200.39","10.0.2.15","859","TLSv1.2","Application Data, Application Data"
"3.676288","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.771338","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"3.860910","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"3.906946","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"3.971987","198.52.200.39","10.0.2.15","316","TLSv1.2","Application Data"
"4.039251","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"4.136923","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"4.305073","198.52.200.39","10.0.2.15","1111","TLSv1.2","Application Data"
"4.718441","198.52.200.39","10.0.2.15","1111","TLSv1.2","Application Data"
"4.719487","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data, Application Data"
"4.784762","198.52.200.39","10.0.2.15","888","TLSv1.2","Application Data, Application Data"
"4.831125","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"4.885157","198.52.200.39","10.0.2.15","316","TLSv1.2","Application Data"
"4.986247","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"4.991570","198.52.200.39","10.0.2.15","859","TLSv1.2","Application Data, Application Data"
"5.101347","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"5.212822","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"5.317270","198.52.200.39","10.0.2.15","1111","TLSv1.2","Application Data"
"5.410065","198.52.200.39","10.0.2.15","1380","TLSv1.2","Application Data"
"5.413434","198.52.200.39","10.0.2.15","328","TLSv1.2","Application Data"
"5.530613","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"5.627128","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"5.722823","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"5.855946","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"6.015933","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"6.105628","198.52.200.39","10.0.2.15","1474","TCP","443  >  38894 [ACK] Seq=43694 Ack=131834 Win=65535 Len=1420 [TCP segment of a reassembled PDU]"
"6.105650","198.52.200.39","10.0.2.15","719","TLSv1.2","Application Data"
"6.135284","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"6.170958","198.52.200.39","10.0.2.15","316","TLSv1.2","Application Data"
"6.351777","198.52.200.39","10.0.2.15","1111","TLSv1.2","Application Data"
"6.437466","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"6.481485","198.52.200.39","10.0.2.15","1380","TLSv1.2","Application Data"
"6.546019","198.52.200.39","10.0.2.15","328","TLSv1.2","Application Data"
"6.622426","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"6.737434","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"6.832850","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"6.878244","198.52.200.39","10.0.2.15","1392","TLSv1.2","Application Data"
"6.920398","198.52.200.39","10.0.2.15","830","TLSv1.2","Application Data"
"7.031610","198.52.200.39","10.0.2.15","1140","TLSv1.2","Application Data, Application Data"
"7.110173","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
"7.225403","198.52.200.39","10.0.2.15","597","TLSv1.2","Application Data"
